store,url,title,price,compared price,compared to,buy
boer-staphorst,https://www.boer-staphorst.nl/drt50zjx2-18-v-boven-en-kantenfrees-0088381846127,Boven- en kantenfrees DRT50ZJX2 18 V (zonder accu en lader),"369,05",220,DRT50ZJX2,no
boer-staphorst,https://www.boer-staphorst.nl/radiaal-afkortzaag-260-mm-0088381851268,Radiaal afkortzaag DLS111ZU 260 mm 2x 18 V (zonder accu en lader),"821,83",480,DLS111ZU,no
vankats,https://www.vankats.nl/assortiment/artikel/dcl282fzb/makita-dcl282fzb-steekstofzuiger-zwart.html,MAKITA DCL282FZB STEEKSTOFZUIGER ZWART,"78,65",55,DCL282FZB,no
vankats,https://www.vankats.nl/assortiment/artikel/ddf484zj/makita-ddf484zj-boor-schroefmachine-18v.html,MAKITA DDF484ZJ BOOR-/SCHROEFMACHINE 18V,"168,19",95,DDF484ZJ,no
vankats,https://www.vankats.nl/assortiment/artikel/dbo180zj/makita-dbo180zj-schuurmachine-18v.html,MAKITA DBO180ZJ SCHUURMACHINE 18V,"199,65",105,DBO180ZJ,no
vankats,https://www.vankats.nl/assortiment/artikel/ddf486zj/makita-ddf484zj-boor-schroefmachine-18v.html,MAKITA DDF484ZJ BOOR-/SCHROEFMACHINE 18V,"252,89",95,DDF484ZJ,no
bol,https://www.bol.com/nl/nl/p/makita-dcl282fzb-18v-li-ion-accu-steelstofzuiger-body-zwart-1500l-min-koolborstelloos/9300000037175424/,DCL282FZB 18 V Stofzuiger,"68,51",55,DCL282FZB,no
bol,https://www.bol.com/nl/nl/p/makita-cp100dz-10-8v-li-ion-accu-snijmachine-body-6mm/9300000042941059/,"Makita CP100DZ 10,8V Li-ion accu snijmachine body - 6mm","68,53",45,CP100DZ,no
bol,https://www.bol.com/nl/nl/p/makita-laser-afstandsmeter-30-meter-ld030p/9200000059277305/,Makita Laser afstandsmeter - 30 meter - LD030P,"72,10",55,LD030P,no
bol,https://www.bol.com/nl/nl/p/makita-dcl282fz-18v-accu-steelstofzuiger-zonder-accu-s-en-lader/9200000121303766/,DCL282FZ 18 V Stofzuiger,"80,93",45,DCL282FZ,no
bol,https://www.bol.com/nl/nl/p/makita-dbo180z-18-v-excenter-schuurmachine-losse-body/9200000101348835/,Makita DBO180Z 18 V Excenter schuurmachine - Losse Body (geleverd zonder accu en lader),"89,99",75,DBO180Z,no
bol,https://www.bol.com/nl/nl/p/makita-dbo481z-18-v-handpalm-vlakschuurmachine/9300000122725177/,Makita DBO481Z Accu Handpalm Vlakschuurmachine 18V Basic Body,"91,90",75,DBO481Z,no
bol,https://www.bol.com/nl/nl/p/makita-dtd153z-18-v-slagschroevendraaier-losse-body/9200000101348889/,Makita DTD153Z 18 V Slagschroevendraaier - Losse Body (geleverd zonder accu en lader),"111,40",85,DTD153Z,no
bol,https://www.bol.com/nl/nl/p/ddf484z-18v-boor-schroefmachine-koolborstelloos-losse-body/9200000101082753/,DDF484Z 18v Boor-/schroefmachine koolborstelloos - Losse Body (geleverd zonder accu en lader),"114,95",85,DDF484Z,no
bol,https://www.bol.com/nl/nl/p/makita-ddf484zj-accuboormachine-18v-li-ion-losse-body/9200000078319662/,Makita DDF484ZJ Accuboormachine - 18V Li-ion -Losse Body (geleverd zonder accu en lader),"119,40",95,DDF484ZJ,no
bol,https://www.bol.com/nl/nl/p/dbo180zj-accu-schuurmachine-losse-body/9200000027391069/,DBO180ZJ accu schuurmachine - Losse Body (geleverd zonder accu en lader),"132,90",105,DBO180ZJ,no
bol,https://www.bol.com/nl/nl/p/makita-dtd153zj-18v-li-ion-accu-slagschroevendraaier-losse-body/9200000082724732/,Makita DTD153ZJ 18V Li-Ion accu slagschroevendraaier - Losse Body (geleverd zonder accu en lader),"135,60",105,DTD153ZJ,no
bol,https://www.bol.com/nl/nl/p/makita-dga511z-haakse-slijper-18-v-125-mm-losse-body/9200000107796825/,Makita DGA511Z Haakse slijper - 18 V - 125 mm - Losse Body (geleverd zonder accu en lader),"142,88",110,DGA511Z,no
bol,https://www.bol.com/nl/nl/p/makita-dga504z-haakse-slijper-18-v-125-mm-losse-body/9200000075614682/,Makita DGA504Z Haakse Slijper - 18 V - 125 mm - Losse Body (geleverd zonder accu en lader),"144,99",100,DGA504Z,no
bol,https://www.bol.com/nl/nl/p/makita-das180z-accu-blaasmachine-lxt-18v-basic-body/9300000151213693/,Makita - DAS180Z - Accu Blaasmachine - LXT 18V - Basic Body,"151,00",115,DAS180Z,no
bol,https://www.bol.com/nl/nl/p/palm-schuurmachine-18v-lxt-112x102-mm-in-makpac-makita-dbo480zj/9300000132227438/,Makita DBO480ZJ Accu Handpalm Vlakschuurmachine 18V Basic Body in Mbox,"169,60",115,DBO480ZJ,no
bol,https://www.bol.com/nl/nl/p/makita-haakse-slijper-dga504zj-18v-125-mm-losse-body/9200000071378100/,Makita haakse slijper - DGA504ZJ - 18V - 125 mm - Losse Body (geleverd zonder accu en lader),"170,69",120,DGA504ZJ,no
